ID,Severity,Start_Time,City,Weather_Condition,Humidity,Visibility,Temperature,Wind_Speed,Sunrise_Sunset,Start_Lat,Start_Lng,Amenity,Bump,Crossing,Give_Way
A00024,2,2021-01-02 00:00:00,Phoenix,Thunderstorm,23.16,6.84,-2.06,25.75,Day,36.259634,-116.556806,False,False,False,False
A00025,3,2021-01-02 01:00:00,New York,Fog,58.04,8.45,37.46,25.35,Night,38.944227,-99.505243,False,False,True,False
A00026,1,2021-01-02 02:00:00,Chicago,Snow,63.44,2.11,33.98,10.79,Day,37.237348,-78.615599,False,True,False,True
A00027,2,2021-01-02 03:00:00,Houston,Fog,38.22,0.68,35.35,20.62,Day,34.790368,-74.763294,False,True,False,False
A00028,2,2021-01-02 04:00:00,New York,Snow,97.12,7.9,39.58,9.39,Day,38.415179,-89.969908,True,True,True,True
A00029,1,2021-01-02 05:00:00,Houston,Snow,92.76,6.29,0.42,1.83,Day,33.546148,-110.887941,False,True,True,False
A00030,2,2021-01-02 06:00:00,New York,Fog,77.77,7.15,7.77,21.05,Night,36.720082,-78.142627,False,True,True,True
A00031,1,2021-01-02 07:00:00,Los Angeles,Snow,62.67,8.46,23.46,0.29,Night,37.919534,-95.285096,False,True,True,True
A00032,1,2021-01-02 08:00:00,Houston,Snow,89.6,8.13,14.19,12.28,Night,36.924423,-111.23503,True,True,False,True
A00033,4,2021-01-02 09:00:00,Chicago,Rain,30.45,9.63,10.92,9.88,Day,39.73805,-77.444027,False,False,True,True
A00034,4,2021-01-02 10:00:00,Chicago,Cloudy,83.24,5.59,7.89,20.8,Night,40.451325,-84.671362,False,False,True,True
A00035,3,2021-01-02 11:00:00,Phoenix,Cloudy,29.99,5.14,19.69,22.99,Night,39.941188,-85.804968,True,False,False,True
A00036,2,2021-01-02 12:00:00,New York,Thunderstorm,83.54,4.32,18.78,9.12,Night,33.349317,-86.796049,True,True,True,False
A00037,1,2021-01-02 13:00:00,Houston,Thunderstorm,42.06,1.96,-1.93,24.35,Night,34.747159,-109.185048,True,False,True,True
A00038,2,2021-01-02 14:00:00,Phoenix,Rain,90.17,5.94,13.59,8.82,Day,37.829468,-108.715706,True,True,False,True
A00039,2,2021-01-02 15:00:00,Houston,Thunderstorm,95.52,3.13,17.67,13.39,Day,41.413398,-87.715108,True,False,False,False
A00040,1,2021-01-02 16:00:00,New York,Fog,31.9,9.25,18.51,21.81,Night,40.514611,-108.332199,False,False,False,True
A00041,2,2021-01-02 17:00:00,Chicago,Clear,57.01,6.04,0.51,20.79,Day,40.582811,-98.698445,True,False,False,False
A00042,1,2021-01-02 18:00:00,Los Angeles,Clear,98.48,6.13,27.11,29.62,Night,35.728874,-83.59192,True,False,False,False
A00043,4,2021-01-02 19:00:00,Chicago,Clear,58.67,3.87,-8.74,6.75,Night,36.865031,-83.506089,True,True,False,True
A00044,2,2021-01-02 20:00:00,Phoenix,Rain,89.08,0.99,7.74,19.87,Night,37.236354,-98.056482,True,True,False,True
A00045,2,2021-01-02 21:00:00,Los Angeles,Rain,67.1,0.8,29.01,18.29,Day,34.416344,-83.143643,True,False,True,False
A00046,2,2021-01-02 22:00:00,Phoenix,Snow,50.03,4.52,18.19,27.45,Night,33.279613,-81.100641,True,True,True,True
A00047,2,2021-01-02 23:00:00,New York,Clear,42.86,1.3,3.06,4.69,Day,41.522126,-89.189867,True,True,False,False
A00048,2,2021-01-03 00:00:00,Los Angeles,Fog,36.26,6.27,24.75,22.55,Day,35.166413,-107.949262,True,False,True,True
A00049,1,2021-01-03 01:00:00,Phoenix,Thunderstorm,80.94,8.87,18.37,17.05,Night,35.15954,-105.943482,False,True,False,False
A00050,4,2021-01-03 02:00:00,New York,Fog,50.92,8.89,29.81,8.24,Day,33.750411,-104.146989,False,True,True,True
A00051,3,2021-01-03 03:00:00,Chicago,Thunderstorm,60.9,6.76,26.75,14.23,Day,41.35657,-112.860619,False,True,False,True
A00052,4,2021-01-03 04:00:00,New York,Clear,59.39,2.51,20.51,10.01,Night,38.217634,-105.980977,True,True,True,False
A00053,3,2021-01-03 05:00:00,Houston,Clear,66.18,8.7,14.41,17.38,Day,39.003332,-108.781154,True,False,False,False
A00054,2,2021-01-03 06:00:00,New York,Clear,89.25,8.92,-3.34,26.67,Day,41.204192,-97.965535,True,False,True,False
A00055,4,2021-01-03 07:00:00,New York,Rain,98.46,2.37,3.07,17.08,Night,36.110582,-78.028748,False,True,False,False
A00056,1,2021-01-03 08:00:00,Houston,Thunderstorm,52.61,7.51,10.95,18.95,Night,38.593566,-113.402866,True,False,True,True
A00057,1,2021-01-03 09:00:00,Phoenix,Rain,86.2,3.22,19.96,15.56,Day,33.349195,-86.308211,True,False,True,False
A00058,1,2021-01-03 10:00:00,Phoenix,Rain,81.16,8.13,15.69,1.53,Night,34.680953,-87.759548,True,False,False,False
A00059,2,2021-01-03 11:00:00,New York,Cloudy,65.88,9.97,4.41,6.99,Night,40.481212,-113.786815,False,True,True,True
A00060,2,2021-01-03 12:00:00,Houston,Fog,96.48,0.79,-9.68,14.76,Day,39.900915,-77.406814,False,True,True,True
A00061,2,2021-01-03 13:00:00,Houston,Fog,36.04,9.02,14.81,9.31,Day,36.155784,-92.987223,True,False,True,False
A00062,3,2021-01-03 14:00:00,Chicago,Snow,28.74,6.41,4.28,5.45,Night,36.391296,-101.996077,False,False,True,True
A00063,2,2021-01-03 15:00:00,Phoenix,Rain,88.32,9.75,26.73,15.12,Day,37.80199,-84.712302,True,True,True,False
A00064,2,2021-01-03 16:00:00,Los Angeles,Thunderstorm,55.13,4.92,-8.8,9.68,Night,33.002169,-106.67592,True,False,False,True
A00065,2,2021-01-03 17:00:00,Phoenix,Cloudy,87.76,8.55,19.24,7.74,Night,35.171199,-87.485567,False,True,False,False
A00066,1,2021-01-03 18:00:00,Phoenix,Cloudy,91.45,1.09,37.07,13.92,Day,34.874086,-116.252707,False,False,True,True
A00067,3,2021-01-03 19:00:00,Chicago,Fog,25.0,3.69,-1.28,4.0,Day,35.254347,-81.066046,False,True,False,False
A00068,1,2021-01-03 20:00:00,Los Angeles,Rain,90.68,1.14,13.58,27.83,Night,40.253153,-98.280483,False,True,True,False
A00069,4,2021-01-03 21:00:00,Chicago,Snow,55.87,9.77,-5.43,26.03,Night,35.517065,-89.985512,True,True,False,True
A00070,3,2021-01-03 22:00:00,Los Angeles,Rain,60.83,8.26,21.28,21.23,Night,34.723692,-108.265536,True,True,True,True
A00071,1,2021-01-03 23:00:00,New York,Clear,70.13,8.6,17.53,3.19,Night,37.538371,-88.208757,False,False,True,False
A00072,1,2021-01-04 00:00:00,Los Angeles,Rain,94.11,9.41,10.37,23.28,Day,40.790805,-84.021428,False,True,True,False
A00073,3,2021-01-04 01:00:00,Chicago,Clear,21.53,1.31,16.07,24.24,Night,35.172147,-97.17862,True,False,True,True
A00074,3,2021-01-04 02:00:00,Phoenix,Clear,58.15,4.16,34.83,23.03,Day,33.706826,-90.820015,True,True,False,True
A00075,3,2021-01-04 03:00:00,Los Angeles,Snow,75.02,1.17,-0.19,3.42,Day,36.207643,-97.921659,True,True,False,True
A00076,3,2021-01-04 04:00:00,Los Angeles,Thunderstorm,77.82,2.5,-8.87,19.32,Night,39.728866,-78.65998,True,False,False,True
A00077,1,2021-01-04 05:00:00,Houston,Fog,75.4,2.68,33.08,25.03,Day,37.956215,-96.093756,False,False,True,True
A00078,2,2021-01-04 06:00:00,Phoenix,Rain,30.75,4.96,18.86,17.32,Day,40.35114,-80.960417,False,False,False,True
A00079,1,2021-01-04 07:00:00,New York,Clear,43.95,3.05,34.53,19.39,Night,41.636329,-82.740509,False,True,False,True
A00080,3,2021-01-04 08:00:00,Chicago,Rain,48.7,1.46,19.85,13.75,Day,40.133962,-99.937788,True,True,True,True
A00081,2,2021-01-04 09:00:00,New York,Thunderstorm,84.35,2.09,30.51,15.86,Day,38.434228,-107.876282,True,False,True,True
A00082,2,2021-01-04 10:00:00,Phoenix,Fog,42.3,1.9,11.48,1.03,Night,37.440074,-100.132386,False,True,True,False
A00083,1,2021-01-04 11:00:00,Los Angeles,Thunderstorm,36.86,9.74,27.49,19.17,Night,33.360622,-81.646435,False,False,False,True
A00084,2,2021-01-04 12:00:00,Los Angeles,Fog,96.6,7.71,35.65,2.44,Night,41.858898,-107.984168,False,True,False,True
A00085,2,2021-01-04 13:00:00,Phoenix,Cloudy,20.71,9.69,18.61,13.05,Night,36.45133,-94.924801,True,True,True,False
A00086,3,2021-01-04 14:00:00,Los Angeles,Fog,99.83,4.68,-0.96,8.78,Night,34.370054,-82.531743,False,True,False,False
A00087,2,2021-01-04 15:00:00,Los Angeles,Snow,74.15,3.14,3.44,16.36,Night,39.00038,-102.446991,True,False,True,False
A00088,3,2021-01-04 16:00:00,Los Angeles,Thunderstorm,86.28,8.08,-0.07,4.0,Night,35.558595,-89.742776,False,True,False,False
A00089,2,2021-01-04 17:00:00,Chicago,Clear,43.57,3.6,2.34,20.75,Day,38.272004,-107.192211,False,False,True,False
A00090,1,2021-01-04 18:00:00,Chicago,Cloudy,21.15,3.34,5.32,23.85,Day,38.280911,-113.191704,False,False,False,False
A00091,3,2021-01-04 19:00:00,Houston,Snow,79.03,2.71,17.76,4.9,Night,37.011568,-83.047094,True,True,False,True
A00092,3,2021-01-04 20:00:00,New York,Rain,86.73,1.73,19.4,3.13,Day,40.525068,-113.645381,True,False,False,False
A00093,2,2021-01-04 21:00:00,Phoenix,Thunderstorm,79.24,2.94,11.32,4.37,Day,35.384704,-106.059219,True,False,True,False
A00094,3,2021-01-04 22:00:00,Phoenix,Clear,31.43,3.88,20.77,26.31,Night,37.037693,-80.375185,True,True,True,False
A00095,2,2021-01-04 23:00:00,Phoenix,Fog,80.27,6.9,-5.92,15.85,Day,37.839229,-102.755351,True,False,True,True
A00096,2,2021-01-05 00:00:00,Houston,Clear,81.51,1.09,-5.61,14.02,Night,38.972622,-75.186005,True,False,False,False
A00097,2,2021-01-05 01:00:00,Chicago,Rain,72.68,2.5,-1.41,3.2,Day,40.055747,-74.891689,False,True,True,True
A00098,1,2021-01-05 02:00:00,Houston,Cloudy,81.29,8.19,15.9,19.49,Night,36.553266,-106.195855,True,True,False,False
A00099,1,2021-01-05 03:00:00,Phoenix,Cloudy,87.67,1.9,0.7,26.04,Day,38.814422,-116.196958,False,True,True,False
A00100,1,2021-01-05 04:00:00,New York,Thunderstorm,69.09,3.76,4.16,24.85,Day,34.355499,-86.977215,True,False,True,True
A00101,2,2021-01-05 05:00:00,Los Angeles,Cloudy,27.09,8.71,10.02,18.78,Day,41.393833,-98.156594,False,False,False,True
A00102,2,2021-01-05 06:00:00,Chicago,Thunderstorm,59.01,1.97,30.59,2.26,Night,36.447529,-113.566875,False,True,False,False
A00103,2,2021-01-05 07:00:00,Chicago,Thunderstorm,26.21,1.29,-9.31,3.37,Day,39.565693,-86.868996,True,False,True,True
A00104,4,2021-01-05 08:00:00,Houston,Thunderstorm,52.6,5.1,22.47,1.48,Day,33.18307,-116.628304,False,True,True,True
A00105,2,2021-01-05 09:00:00,Chicago,Fog,52.57,3.37,23.44,7.72,Night,34.846684,-79.711346,True,True,False,False
A00106,2,2021-01-05 10:00:00,Phoenix,Snow,25.28,5.85,29.93,4.07,Night,37.383743,-111.899289,True,True,False,False
A00107,3,2021-01-05 11:00:00,Phoenix,Thunderstorm,47.91,8.14,36.64,7.8,Day,40.904272,-112.398277,True,False,True,False
A00108,2,2021-01-05 12:00:00,Houston,Thunderstorm,28.88,1.8,-8.99,11.55,Day,37.745296,-110.270419,True,False,False,True
A00109,1,2021-01-05 13:00:00,Phoenix,Snow,84.66,6.02,-2.31,28.29,Day,41.368834,-75.74828,False,True,True,False
A00110,2,2021-01-05 14:00:00,New York,Clear,95.82,5.3,34.31,18.31,Day,37.354172,-87.500548,True,True,True,False
A00111,1,2021-01-05 15:00:00,Houston,Thunderstorm,25.79,1.87,12.93,25.05,Night,37.414042,-82.739652,False,False,True,True
A00112,4,2021-01-05 16:00:00,New York,Fog,96.41,6.43,18.23,21.31,Day,34.077721,-100.504061,False,True,False,True
A00113,3,2021-01-05 17:00:00,Los Angeles,Cloudy,61.81,3.1,23.15,3.38,Day,40.223906,-103.20224,False,False,True,False
A00114,2,2021-01-05 18:00:00,New York,Cloudy,43.97,5.13,23.95,22.08,Night,35.222689,-107.682704,True,True,True,True
A00115,3,2021-01-05 19:00:00,Los Angeles,Rain,26.15,1.28,36.59,8.25,Day,41.096512,-96.851487,False,True,False,False
A00116,3,2021-01-05 20:00:00,Los Angeles,Rain,60.05,4.87,39.85,19.17,Day,41.197418,-93.719536,True,False,False,True
A00117,1,2021-01-05 21:00:00,New York,Cloudy,83.56,3.41,26.01,10.23,Day,41.489791,-90.201907,False,False,False,False
A00118,3,2021-01-05 22:00:00,Houston,Cloudy,76.57,8.31,4.36,29.93,Night,37.682074,-106.686786,True,False,True,True
A00119,2,2021-01-05 23:00:00,Phoenix,Fog,24.02,1.04,33.99,7.91,Night,39.093844,-76.25922,True,False,False,True
A00120,3,2021-01-06 00:00:00,Phoenix,Snow,25.83,4.48,-7.54,8.37,Day,40.006643,-110.530626,True,False,False,True
A00121,3,2021-01-06 01:00:00,Los Angeles,Rain,52.23,4.86,1.55,27.92,Day,34.179132,-75.51126,True,True,True,True
A00122,2,2021-01-06 02:00:00,Los Angeles,Snow,43.62,7.39,34.87,0.74,Night,38.408615,-117.346331,False,True,True,False
A00123,1,2021-01-06 03:00:00,Houston,Fog,38.59,5.96,2.81,20.9,Day,33.308681,-96.83047,False,False,True,True
A00124,2,2021-01-06 04:00:00,Chicago,Cloudy,42.48,6.84,1.03,21.76,Day,37.478095,-103.331815,True,False,True,False
A00125,2,2021-01-06 05:00:00,New York,Thunderstorm,84.28,7.88,-3.09,25.09,Night,34.393584,-98.23857,False,True,False,True
A00126,3,2021-01-06 06:00:00,Los Angeles,Snow,94.34,8.69,32.96,29.23,Night,34.646306,-92.890759,True,True,True,True
A00127,3,2021-01-06 07:00:00,Phoenix,Cloudy,52.41,3.48,15.0,29.27,Night,36.285428,-98.834077,True,False,False,False
A00128,1,2021-01-06 08:00:00,Houston,Cloudy,92.49,5.61,23.74,1.96,Day,36.891935,-99.746739,False,False,True,True
A00129,2,2021-01-06 09:00:00,New York,Clear,45.72,8.48,1.95,24.66,Day,38.608552,-85.76017,True,True,True,True
A00130,2,2021-01-06 10:00:00,Houston,Snow,58.11,9.9,27.9,19.39,Day,33.669856,-87.821444,True,False,False,False
A00131,2,2021-01-06 11:00:00,New York,Thunderstorm,38.08,8.95,28.0,19.42,Day,37.533226,-81.336064,True,True,False,True
A00132,1,2021-01-06 12:00:00,New York,Snow,71.24,4.03,5.63,3.85,Night,34.643626,-107.001805,True,True,False,False
A00133,2,2021-01-06 13:00:00,Los Angeles,Cloudy,98.32,2.35,10.53,19.51,Day,38.165777,-91.180746,True,False,True,True
A00134,4,2021-01-06 14:00:00,Houston,Thunderstorm,68.28,5.15,0.48,29.47,Day,38.736642,-92.251429,False,True,True,True
A00135,2,2021-01-06 15:00:00,Houston,Fog,48.63,7.55,38.83,27.35,Night,38.010383,-101.731536,False,True,False,True
A00136,2,2021-01-06 16:00:00,Phoenix,Clear,71.83,5.18,22.28,13.17,Night,39.64466,-96.613468,False,True,False,False
A00137,3,2021-01-06 17:00:00,Phoenix,Cloudy,29.83,5.09,36.73,1.2,Day,36.020483,-104.193586,True,False,True,True
A00138,2,2021-01-06 18:00:00,Los Angeles,Rain,91.09,8.46,5.17,10.87,Night,39.885959,-111.758847,True,True,False,True
A00139,4,2021-01-06 19:00:00,Los Angeles,Rain,60.25,3.93,29.09,24.79,Night,36.894904,-108.592747,True,False,False,True
A00140,4,2021-01-06 20:00:00,Chicago,Clear,55.95,8.67,28.29,21.04,Day,37.35766,-113.3574,True,True,True,True
A00141,2,2021-01-06 21:00:00,Phoenix,Fog,66.87,4.36,24.58,13.78,Day,38.832919,-87.944939,True,True,False,True
A00142,2,2021-01-06 22:00:00,New York,Cloudy,69.98,3.62,38.28,1.65,Day,33.165225,-88.927995,True,True,True,True
A00143,2,2021-01-06 23:00:00,Houston,Snow,25.74,4.81,9.68,12.81,Day,38.885948,-76.17332,False,True,True,True
A00144,2,2021-01-07 00:00:00,Los Angeles,Clear,74.61,7.74,-3.46,14.07,Night,38.567266,-85.89415,True,True,True,True
A00145,1,2021-01-07 01:00:00,Houston,Fog,39.35,1.7,23.59,27.86,Night,35.788624,-115.709983,False,False,False,True
A00146,2,2021-01-07 02:00:00,Houston,Snow,77.12,2.37,26.47,19.23,Day,33.772149,-79.093212,True,False,False,False
A00147,2,2021-01-07 03:00:00,Chicago,Rain,85.8,9.54,18.75,9.35,Day,33.818419,-80.042293,False,True,False,True
A00148,1,2021-01-07 04:00:00,Phoenix,Rain,84.32,2.17,0.34,15.76,Night,41.309014,-98.493906,True,False,False,False
A00149,2,2021-01-07 05:00:00,Los Angeles,Snow,64.2,5.89,15.22,1.98,Day,39.203514,-92.222026,False,False,True,False
A00150,4,2021-01-07 06:00:00,Houston,Clear,61.61,6.0,5.61,29.18,Day,34.143924,-75.052553,False,True,True,False
A00151,2,2021-01-07 07:00:00,Los Angeles,Rain,31.43,5.15,11.37,10.8,Day,36.210509,-94.578608,True,False,False,True
A00152,1,2021-01-07 08:00:00,New York,Cloudy,82.03,6.63,22.26,14.34,Day,38.332347,-78.16584,True,False,False,False
A00153,2,2021-01-07 09:00:00,Chicago,Thunderstorm,41.71,2.68,27.26,10.66,Night,40.520145,-114.346295,False,False,False,False
A00154,4,2021-01-07 10:00:00,New York,Snow,59.74,5.75,1.61,20.48,Day,33.392948,-109.593718,True,False,False,False
A00155,2,2021-01-07 11:00:00,Los Angeles,Snow,42.74,4.04,10.27,19.87,Night,35.129698,-98.606782,True,True,True,True
A00156,2,2021-01-07 12:00:00,Los Angeles,Rain,30.71,6.79,3.46,21.46,Day,41.007741,-92.2707,True,False,False,False
A00157,3,2021-01-07 13:00:00,Phoenix,Clear,70.36,1.84,-0.07,8.04,Day,33.08249,-82.085975,False,True,True,True
A00158,2,2021-01-07 14:00:00,Houston,Cloudy,24.35,5.92,29.17,9.47,Night,34.812592,-74.516467,True,True,False,False
A00159,3,2021-01-07 15:00:00,Houston,Clear,79.89,2.26,35.46,3.76,Day,41.631218,-100.890534,False,False,False,False
A00160,2,2021-01-07 16:00:00,New York,Fog,45.41,3.15,8.51,19.67,Night,38.520617,-115.913712,False,True,False,True
A00161,2,2021-01-07 17:00:00,Chicago,Fog,20.01,2.58,27.56,1.19,Day,35.355042,-82.748454,True,False,True,True
A00162,2,2021-01-07 18:00:00,Houston,Thunderstorm,60.89,2.24,34.85,17.93,Day,33.60292,-91.407248,False,True,False,False
A00163,2,2021-01-07 19:00:00,Phoenix,Rain,23.75,8.34,32.31,26.09,Day,33.253722,-109.264114,True,False,True,False
A00164,1,2021-01-07 20:00:00,New York,Rain,42.09,3.21,-0.86,26.72,Day,35.202706,-96.227548,True,False,True,False
A00165,3,2021-01-07 21:00:00,New York,Rain,76.56,9.31,37.81,13.47,Day,40.933372,-85.338349,False,True,False,True
A00166,2,2021-01-07 22:00:00,Phoenix,Thunderstorm,25.02,9.71,8.83,13.78,Night,36.743223,-84.101881,False,False,True,True
A00167,1,2021-01-07 23:00:00,Chicago,Fog,87.15,5.93,6.96,2.31,Night,39.483,-96.01679,False,False,True,False
A00168,1,2021-01-08 00:00:00,Phoenix,Clear,20.31,1.86,-6.88,20.12,Day,41.264565,-104.570561,False,False,True,False
A00169,2,2021-01-08 01:00:00,Chicago,Thunderstorm,39.75,4.06,14.31,24.64,Day,36.672364,-75.155326,False,False,False,True
A00170,2,2021-01-08 02:00:00,Phoenix,Thunderstorm,79.27,8.08,-4.55,7.34,Night,34.721496,-88.812045,True,True,True,True
A00171,1,2021-01-08 03:00:00,Phoenix,Clear,45.3,3.99,2.43,12.64,Night,37.654061,-100.037549,False,True,True,False
A00172,2,2021-01-08 04:00:00,Los Angeles,Rain,28.15,1.33,5.85,25.17,Day,41.172753,-105.659618,True,True,False,True
A00173,2,2021-01-08 05:00:00,New York,Cloudy,48.82,5.79,30.44,26.31,Day,40.23937,-85.831469,True,False,False,False
A00174,2,2021-01-08 06:00:00,Phoenix,Clear,41.63,8.53,33.77,7.3,Night,33.592469,-107.343928,False,True,True,True
A00175,1,2021-01-08 07:00:00,Phoenix,Fog,87.42,8.06,5.12,16.52,Day,39.233155,-110.44476,False,False,True,False
A00176,2,2021-01-08 08:00:00,Houston,Snow,45.07,2.16,32.93,5.77,Night,38.147078,-94.687309,False,False,True,False
A00177,2,2021-01-08 09:00:00,New York,Snow,83.11,6.89,32.86,3.06,Day,41.167169,-105.240555,False,False,True,False
A00178,4,2021-01-08 10:00:00,Houston,Thunderstorm,91.35,2.59,28.23,27.33,Night,34.102333,-90.328174,False,True,False,True
A00179,1,2021-01-08 11:00:00,New York,Snow,54.71,2.57,-2.67,24.62,Night,37.806325,-112.810698,True,True,False,False
A00180,2,2021-01-08 12:00:00,Houston,Cloudy,92.8,8.8,24.52,22.8,Day,40.915164,-89.182591,True,True,True,False
A00181,1,2021-01-08 13:00:00,Phoenix,Rain,50.19,2.87,37.25,1.46,Night,36.690214,-105.534953,True,True,False,True
A00182,4,2021-01-08 14:00:00,Phoenix,Fog,97.13,3.0,24.13,25.31,Day,37.337954,-117.989311,False,False,True,False
A00183,3,2021-01-08 15:00:00,Los Angeles,Cloudy,27.14,0.51,6.58,13.14,Day,33.634146,-112.414813,False,True,False,False
A00184,2,2021-01-08 16:00:00,Houston,Fog,74.96,8.77,15.03,10.27,Day,35.503293,-76.920923,True,True,False,False
A00185,2,2021-01-08 17:00:00,Chicago,Fog,59.51,8.03,22.29,16.39,Day,35.92056,-79.836396,False,True,True,True
A00186,3,2021-01-08 18:00:00,Los Angeles,Rain,51.01,6.46,15.53,2.74,Night,41.506102,-107.721203,False,True,True,True
A00187,2,2021-01-08 19:00:00,Houston,Thunderstorm,70.62,7.63,-4.0,22.7,Day,35.544006,-83.751636,False,False,True,True
A00188,2,2021-01-08 20:00:00,Houston,Snow,76.31,1.94,5.6,17.47,Day,37.147819,-91.22285,True,True,True,True
A00189,2,2021-01-08 21:00:00,Los Angeles,Rain,20.35,4.85,30.12,5.6,Day,39.04174,-75.280193,False,True,False,False
A00190,1,2021-01-08 22:00:00,Phoenix,Cloudy,33.36,3.84,33.07,5.65,Day,34.45965,-101.561351,True,True,False,True
A00191,3,2021-01-08 23:00:00,Houston,Thunderstorm,77.04,1.39,-3.13,5.53,Night,37.377981,-88.015733,False,False,True,True
A00192,4,2021-01-09 00:00:00,Phoenix,Cloudy,73.31,5.12,37.62,1.71,Day,39.646851,-115.204428,False,True,False,True
A00193,2,2021-01-09 01:00:00,Los Angeles,Thunderstorm,97.28,9.25,6.44,17.63,Night,40.801697,-100.565117,True,True,False,False
A00194,2,2021-01-09 02:00:00,Phoenix,Cloudy,80.88,0.88,23.12,25.21,Night,38.636333,-75.592023,False,True,True,False
A00195,2,2021-01-09 03:00:00,New York,Rain,96.06,3.27,27.59,0.52,Night,39.021482,-94.284842,False,False,True,False
A00196,3,2021-01-09 04:00:00,Chicago,Thunderstorm,76.2,2.47,30.6,1.47,Day,34.136551,-105.333302,False,False,False,True
A00197,3,2021-01-09 05:00:00,Houston,Thunderstorm,43.84,2.76,37.29,17.18,Day,41.511988,-112.708078,True,True,True,False
A00198,3,2021-01-09 06:00:00,Chicago,Fog,28.43,9.13,5.65,24.58,Day,34.193167,-87.044753,False,True,True,False
A00199,3,2021-01-09 07:00:00,Phoenix,Fog,82.55,4.95,32.93,9.8,Day,39.972056,-89.626334,False,False,False,True
A00200,2,2021-01-09 08:00:00,Houston,Clear,71.53,4.93,-3.42,10.49,Night,35.383347,-101.546697,False,False,False,False
A00201,1,2021-01-09 09:00:00,Phoenix,Cloudy,23.85,7.73,25.25,17.89,Night,41.402338,-76.158581,False,False,True,True
A00202,1,2021-01-09 10:00:00,New York,Fog,48.8,1.97,27.1,8.23,Day,39.479636,-117.023076,False,False,False,True
A00203,3,2021-01-09 11:00:00,Los Angeles,Clear,96.54,5.13,23.89,0.8,Day,39.784323,-104.636151,True,False,True,False
A00204,2,2021-01-09 12:00:00,Houston,Fog,60.03,4.58,2.62,22.06,Day,34.971533,-77.472943,True,True,True,True
